"name","degree_centrality","betweenness_centrality","closeness_centrality","eigenvector_centrality","stress"
"ACME",3,3,0.0078740157480315,0.285112738518239,6
"CJNG Comando la Mancha",1,0,0.00746268656716418,0.187397848131064,0
"Caballeros Templarios",1,0,0.00408163265306122,0.0015527968714574,0
"Cártel Jalisco Nueva Generación (CJNG)",27,1027,0.0114942528735632,1,1067
"Cártel Los Epitacio",1,0,1,0,0
"Cártel Nueva Plaza",1,0,0.0172413793103448,1.0440320556894e-15,0
"Cártel Pura Gente Nueva",1,0,0.00408163265306122,0.00162179095358174,0
"Cártel de Caborca",2,1,0.5,2.60478625672959e-17,1
"Cártel de Los Alemanes",1,0,0.00490196078431373,0.00833841663252118,0
"Cártel de Los Tequileros",1,0,0.00746268656716418,0.187397848131064,0
"Cártel de Sinaloa",20,265,0.0294117647058824,5.13985012031707e-15,266
"Cártel de Sinaloa / Los Chapitos",5,90,0.0163934426229508,6.17384340624023e-16,90
"Cártel del Abuelo",2,252,0.00819672131147541,0.19451998262492,258
"Cártel del Golfo",3,69,0.00636942675159236,0.04449579712724,93
"Cártel del Noreste",4,181,0.0065359477124183,0.0445594580281831,185
"Cártel del Poniente o La Laguna",1,0,0.0172413793103448,1.0440320556894e-15,0
"Cárteles Unidos",2,1,0.5,1.47787552955207e-17,1
"Célula liderada por El Balín",1,0,0.00746268656716418,0.187397848131064,0
"El Jardinero",1,0,0.00746268656716418,0.187397848131064,0
"El Pechugas",1,0,0.00588235294117647,0.052584361013998,0
"El Robert",1,0,0.00588235294117647,0.052584361013998,0
"Francisco Javier Arvizo Márquez, El Jaguar",1,0,0.0172413793103448,1.02395451615692e-15,0
"Gente Nueva",5,101,0.0222222222222222,2.26876196717121e-15,102
"Güero Fresa",1,0,0.00746268656716418,0.187397848131064,0
"Juan L. (El Moco), líder huachicolero",1,0,0.333333333333333,1.47419922226463e-17,0
"La Banda del Bucanas",1,0,0.00746268656716418,0.187397848131064,0
"La Emperatriz",1,0,0.0172413793103448,1.02395451615692e-15,0
"La Guera",1,0,0.0172413793103448,1.05407082545565e-15,0
"La Línea",1,0,1,5.57389456564478e-18,0
"La Nueva Familia Michoacana",5,182,0.00505050505050505,0.00828609766303917,186
"La Reina del Sur, Cecilia “V""",1,0,0.333333333333333,1.52003051978142e-17,0
"La Unión Tepito",6,224,0.00813008130081301,0.280602800610715,234
"Los Artistas Asesinos o Doble A",1,0,0.0172413793103448,1.06410959522189e-15,0
"Los Durangos",1,0,0.00746268656716418,0.187397848131064,0
"Los Dámasos/Fuerzas especiales Dámaso",1,0,0.00746268656716418,0.187397848131064,0
"Los Guerreros",1,0,0.00746268656716418,0.187397848131064,0
"Los Jaguares",3,0,0.0196078431372549,1.96759887418388e-15,0
"Los Lobos",3,0,0.0196078431372549,1.90736625558641e-15,0
